City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
Salinópolis,74,BR,1604974433,83,-0.61,-47.36,80.6,8.95
Brae,100,GB,1604974621,100,60.4,-1.35,51.8,11.41
Lālmohan,0,BD,1604974621,73,22.34,90.74,76.1,10.27
Alofi,75,NU,1604974621,65,-19.06,-169.92,80.6,14.99
Caraz,58,PE,1604974621,41,-9.05,-77.81,63.52,2.77
Arman',82,RU,1604974643,86,59.7,150.17,9.03,9.73
Kożuchów,0,PL,1604974643,98,51.75,15.59,41.0,1.01
Whyalla,40,AU,1604974644,26,-33.03,137.58,96.8,24.16
Mogadishu,6,SO,1604974460,79,2.04,45.34,79.92,8.55
Staryy Urukh,0,RU,1604974645,72,43.34,44.02,37.4,4.47
Uribia,42,CO,1604974645,79,11.71,-72.27,81.12,7.58
Kieta,1,PG,1604974646,59,-6.22,155.63,87.49,6.69
Katsuura,20,JP,1604974646,47,35.13,140.3,60.01,12.75
Taltal,19,CL,1604974646,75,-25.4,-70.48,58.69,4.14
Río Gallegos,40,AR,1604974646,58,-51.62,-69.22,57.2,16.11
Beringovskiy,100,RU,1604974647,96,63.05,179.32,34.72,13.06
Cockburn Town,100,TC,1604974647,81,21.46,-71.14,81.93,22.82
Bila Tserkva,83,UA,1604974647,75,49.81,30.11,42.01,7.0
Norman Wells,75,CA,1604974648,71,65.28,-126.83,3.2,16.11
Marshall,1,US,1604974648,82,34.38,-86.33,70.0,3.36
Rome,1,US,1604974627,75,43.21,-75.46,54.0,3.36
Sola,100,VU,1604974649,79,-13.88,167.55,82.04,14.23
Kavaratti,95,IN,1604974649,70,10.57,72.64,83.7,12.59
Izhma,98,RU,1604974649,97,65.01,53.91,28.02,6.64
Dandong,0,CN,1604974650,56,40.13,124.39,43.03,2.91
Aldan,100,RU,1604974651,96,58.6,125.39,16.38,6.26
Skibotn,75,NO,1604974651,69,69.39,20.27,35.6,25.28
Bassano,25,CA,1604974651,100,50.78,-112.47,14.0,3.36
Sistranda,75,NO,1604974652,87,63.73,8.83,44.6,18.34
Klaksvík,97,FO,1604974652,100,62.23,-6.59,50.0,13.87
Nizwá,0,OM,1604974652,61,22.93,57.53,66.67,2.68
Yanam,0,IN,1604974654,66,16.73,82.22,72.99,4.43
Ceres,1,US,1604974654,48,37.59,-120.96,50.0,6.93
Bull Savanna,32,JM,1604974654,84,17.89,-77.59,75.99,3.2
Sembakung,100,ID,1604974655,66,3.82,117.25,88.2,1.5
Inírida,100,CO,1604974655,96,3.87,-67.92,74.97,2.42
Kandiaro,0,PK,1604974676,29,27.06,68.21,64.65,0.98
Kendari,46,ID,1604974676,56,-3.94,122.5,87.4,3.94
Port Augusta,40,AU,1604974677,26,-32.5,137.77,96.8,24.16
Macusani,100,PE,1604974677,74,-14.08,-70.43,40.37,2.89
Nicoya,40,CR,1604974677,94,10.15,-85.45,77.0,4.7
Los Llanos de Aridane,90,ES,1604974678,77,28.66,-17.92,68.0,6.93
Asău,100,RO,1604974678,97,46.43,26.4,39.0,2.71
Varzob,40,TJ,1604974678,70,38.77,68.82,46.4,2.24
Nantucket,90,US,1604974678,93,41.28,-70.1,53.6,3.36
Wenling,24,CN,1604974679,60,28.37,121.36,66.0,11.1
Gemeente Wageningen,90,NL,1604974565,100,51.97,5.67,53.01,2.24
Chã Grande,75,BR,1604974679,78,-8.24,-35.46,80.6,9.17
Sergeevka,8,KZ,1604974680,95,53.88,67.42,30.0,12.53
Pochutla,22,MX,1604974680,84,15.74,-96.47,80.01,3.18
Praia,0,CV,1604974680,83,14.92,-23.51,77.0,18.34
Sarapulka,75,RU,1604974681,86,56.87,61.06,30.2,8.95
Tromsø,75,NO,1604974602,69,69.65,18.96,35.6,25.28
Ankang,0,CN,1604974681,49,32.68,109.02,62.92,1.43
Blind River,1,CA,1604974682,82,46.18,-82.96,62.6,14.99
Turochak,100,RU,1604974682,88,52.26,87.12,34.03,2.82
Lotofaga,75,WS,1604974682,79,-13.98,-171.86,86.0,8.05
Kerema,45,PG,1604974704,70,-7.96,145.78,84.33,7.52
Alyangula,75,AU,1604974704,55,-13.85,136.42,91.4,11.41
Tabligbo,20,TG,1604974726,83,6.58,1.5,80.6,4.7
Tommot,100,RU,1604974726,88,58.96,126.29,8.04,1.63
Green Valley,1,US,1604974727,68,31.85,-110.99,51.8,4.7
Tonantins,100,BR,1604974727,95,-2.87,-67.8,75.36,2.1
Tawang Town,0,IN,1604974728,40,27.58,91.87,53.29,1.59
Aswān,0,EG,1604974728,51,24.09,32.91,64.02,7.45
Mossamedes,69,AO,1604974728,77,-15.2,12.15,70.7,8.68
Dogondoutchi,6,NE,1604974597,23,13.64,4.03,74.77,8.34
Kaniama,100,CD,1604974729,95,-7.57,24.18,66.4,5.21
Borås,90,SE,1604974729,93,57.72,12.94,43.0,3.36
Höganäs,100,SE,1604974729,87,56.2,12.56,48.0,8.05
Alpharetta,27,US,1604974730,84,34.08,-84.29,68.0,5.01
Nantong,0,CN,1604974730,57,32.03,120.87,62.01,4.88
Biryusinsk,21,RU,1604974731,93,55.96,97.82,32.38,8.03
Razdol'noye,0,RU,1604974731,39,43.55,131.92,28.4,11.18
Esmeraldas,0,BR,1604974731,78,-19.76,-44.31,73.4,5.82
Adré,55,TD,1604974731,32,13.47,22.2,69.76,12.88
Turukhansk,100,RU,1604974732,97,65.82,87.98,15.42,1.45
Valdivia,0,CL,1604974731,72,-39.81,-73.25,59.0,3.36
San Policarpo,100,PH,1604974732,81,12.18,125.51,82.36,10.2
Hornepayne,95,CA,1604974732,81,49.21,-84.77,61.12,14.2
São Filipe,39,CV,1604974733,72,14.9,-24.5,80.51,4.18
Marabu,40,MY,1604974733,83,4.41,114.01,80.6,1.12
Bulawayo,19,ZW,1604974735,43,-20.15,28.58,73.8,10.13
Kem',0,RU,1604974736,90,64.96,34.58,32.99,15.37
Villarrica,43,PY,1604974577,93,-25.75,-56.43,66.99,3.87
Marawi,53,PH,1604974736,78,8.0,124.29,82.99,4.0
Patiāla,81,IN,1604974504,33,30.33,76.4,60.71,2.53
Batagay,0,RU,1604974737,82,67.63,134.63,-23.8,3.87
Ferme-Neuve,15,CA,1604974737,67,46.7,-75.45,59.0,5.82
La Orilla,1,MX,1604974739,82,17.98,-102.23,76.69,3.18
Quelimane,0,MZ,1604974582,83,-17.88,36.89,78.8,11.41
Maniitsoq,98,GL,1604974739,85,65.42,-52.9,19.29,5.35
Novyye Lyady,75,RU,1604974739,100,58.05,56.6,30.2,8.95
Chennai,40,IN,1604974494,88,13.09,80.28,73.4,3.36
San Rafael del Sur,40,NI,1604974740,83,11.85,-86.44,78.8,9.17
Sal Rei,40,CV,1604974740,83,16.18,-22.92,77.0,14.99
Uvira,96,CD,1604974741,62,-3.41,29.15,73.42,5.23
North Bend,90,US,1604974741,57,43.41,-124.22,48.99,6.93
Krutinka,88,RU,1604974741,97,56.01,71.51,31.23,15.88
Sibiti,99,CG,1604974742,100,-3.68,13.35,68.13,2.08
Tyukod,90,HU,1604974742,100,47.85,22.56,39.2,3.36
Mount Gambier,0,AU,1604974742,25,-37.83,140.77,89.6,18.34
Linxia Chengguanzhen,0,CN,1604974743,46,35.6,103.21,46.8,1.1
Jardim,100,BR,1604974743,93,-21.48,-56.14,69.46,5.88
Irtyshskiy,96,RU,1604974743,97,58.33,68.13,26.01,9.91
Abaza,77,RU,1604974509,92,52.66,90.09,30.83,4.41
Grand Gaube,1,MU,1604974744,68,-20.01,57.66,73.0,1.99
Sirari,34,TZ,1604974744,92,-1.23,34.43,60.31,3.62
Noumea,0,NC,1604974744,54,-22.28,166.46,80.6,18.34
Arrondissement de Privas,100,FR,1604974745,96,44.58,4.5,51.01,3.0
Angoche,5,MZ,1604974766,84,-16.23,39.91,76.51,7.65
Preston,16,GB,1604974766,87,53.77,-2.72,55.0,5.66
El Salvador,40,SV,1604974767,88,13.83,-88.92,78.8,4.7
Aloleng,83,PH,1604974767,74,16.13,119.78,83.62,8.57
Sainte-Thècle,96,CA,1604974767,71,46.82,-72.5,55.4,5.82
Port-Gentil,100,GA,1604974768,90,-0.72,8.78,77.02,13.33
Canutama,92,BR,1604974768,87,-6.53,-64.38,75.96,2.75
Laguna,1,US,1604974769,39,38.42,-121.42,50.0,2.71
Am Timan,87,TD,1604974769,39,11.03,20.28,75.29,3.8
Ambunti,37,PG,1604974769,51,-4.24,142.84,93.99,2.06
Borivka,72,UA,1604974770,93,50.46,29.55,44.01,4.47
Kaitangata,0,NZ,1604974770,66,-46.28,169.85,55.99,8.01
Gijang,0,KR,1604974770,37,35.24,129.21,53.6,8.05
Glossop,75,GB,1604974771,95,53.44,-1.95,55.0,2.35
Villaviciosa,29,ES,1604974771,87,43.48,-5.44,55.0,3.11
Gori,2,GE,1604974771,62,41.98,44.12,44.33,0.34
Calama,0,CL,1604974726,12,-22.47,-68.93,62.6,2.24
Jizan,0,SA,1604974772,83,17.33,42.67,78.8,3.36
Hua Hin,20,TH,1604974667,74,12.57,99.96,78.8,5.82
Winona,100,US,1604974772,72,43.97,-91.77,46.0,5.01
Atambua,100,ID,1604974773,49,-9.11,124.89,87.62,4.41
Comodoro Rivadavia,0,AR,1604974651,67,-45.87,-67.5,59.0,8.95
Vaitape,100,PF,1604974795,77,-16.52,-151.75,80.13,14.47
Poronaysk,93,RU,1604974795,80,49.22,143.12,26.53,6.8
Pandan,97,PH,1604974796,83,14.05,124.17,82.74,11.92
Raja,0,SS,1604974796,40,8.46,25.68,71.11,1.43
Syava,69,RU,1604974796,95,58.01,46.32,29.12,8.66
Maragogi,13,BR,1604974670,86,-9.01,-35.22,76.12,10.49
Alcúdia,0,ES,1604974797,87,39.85,3.12,54.0,4.7
Bahía Blanca,40,AR,1604974730,77,-38.72,-62.27,66.2,3.36
Huilong,0,CN,1604974798,55,31.81,121.66,63.0,7.52
Tugulym,75,RU,1604974798,86,57.06,64.64,28.4,8.95
Pringsewu,100,ID,1604974799,63,-5.36,104.97,85.17,1.81
Maceió,40,BR,1604974802,94,-9.67,-35.74,75.2,6.93
Aykhal,40,RU,1604974802,92,66.0,111.5,24.8,8.95
Puerto Escondido,12,MX,1604974803,79,15.85,-97.07,80.2,6.55
Linqiong,98,CN,1604974803,77,30.42,103.46,64.4,1.57
Leh,52,IN,1604974803,67,34.17,77.58,31.05,1.68
Biak,86,ID,1604974804,58,-0.91,122.88,84.51,2.21
Sur,0,OM,1604974513,72,22.57,59.53,73.87,0.38
Tarpon Springs,100,US,1604974804,83,28.15,-82.76,78.01,8.05
Lagoa,100,PT,1604974805,89,39.05,-27.98,63.84,13.18
Price,1,US,1604974806,68,39.6,-110.81,26.6,8.05
Hanmer Springs,100,NZ,1604974807,77,-42.52,172.82,49.68,4.72
Myitkyina,2,MM,1604974688,56,25.38,97.4,70.56,2.24
Nouakchott,0,MR,1604974808,23,18.09,-15.98,73.4,4.7
Richards Bay,99,ZA,1604974564,84,-28.78,32.04,67.96,10.18
Coracora,7,PE,1604974809,41,-15.03,-73.78,55.33,1.23
Ust-Nera,51,RU,1604974809,80,64.57,143.2,-13.95,4.16
Volta Redonda,90,BR,1604974711,88,-22.52,-44.1,75.2,9.17
Coyhaique,0,CL,1604974810,48,-45.58,-72.07,60.8,9.17
Cochrane,90,CA,1604974810,43,51.18,-114.47,33.8,3.36
Wajima,75,JP,1604974811,93,37.4,136.9,44.6,3.36
Yabassi,75,CM,1604974811,100,4.46,9.97,77.0,0.25
Trairi,11,BR,1604974759,81,-3.28,-39.27,79.72,8.61
George,4,ZA,1604974705,93,-33.96,22.46,50.0,3.36
Ibiúna,90,BR,1604974812,82,-23.66,-47.22,69.8,11.41
Tynda,96,RU,1604974813,91,55.17,124.72,8.55,0.89
Kursavka,75,RU,1604974814,86,44.46,42.51,39.2,0.49
Vila,1,PT,1604974814,95,42.03,-8.16,46.99,1.92
Clyde River,90,CA,1604974814,84,70.47,-68.59,5.0,13.87
Bonavista,100,CA,1604974815,93,48.65,-53.11,39.0,5.82
Mitsamiouli,34,KM,1604974816,78,-11.38,43.28,78.51,15.79
Tornio,0,FI,1604974610,74,65.85,24.15,28.4,4.7
Gushi,0,CN,1604974817,38,34.64,109.58,59.85,4.34
Ihlow,90,DE,1604974817,86,51.88,13.33,41.0,5.82
